,centers
257,"[-11004630.548162911, 2234705.1047512437]"
258,"[-11004725.798353413, 2234607.2087221183]"
259,"[-11004868.673639163, 2234803.0007803696]"
260,"[-11005440.174782164, 2234800.3549417444]"
261,"[-11006627.979935557, 2235329.5226667505]"
262,"[-11006798.63652687, 2235578.231497502]"
263,"[-11006875.365846995, 2235553.0960305645]"
264,"[-11006901.824233245, 2235592.7836099397]"
265,"[-11006942.834731933, 2235754.1797660654]"
266,"[-11006834.355348308, 2235976.4302105666]"
267,"[-11006753.657270243, 2235829.586166878]"
268,"[-11006518.177632619, 2235738.3047343153]"
269,"[-11006564.479808556, 2235742.273492253]"
270,"[-11006564.479808556, 2235809.742377191]"
271,"[-11006547.281857492, 2235898.377971129]"
272,"[-11006332.968928866, 2235877.211262129]"
273,"[-11007061.897470063, 2235525.314725002]"
274,"[-11007100.262130124, 2235546.4814340016]"
275,"[-11007224.6165455, 2235639.0857858774]"
276,"[-11007216.679029625, 2235616.596157565]"
277,"[-11007188.897724062, 2235606.9388465844]"
278,"[-11007097.6162915, 2235783.2839909405]"
279,"[-11007419.08568444, 2235587.4919326897]"
280,"[-11007419.08568444, 2235668.1900107525]"
281,"[-11007333.095929127, 2235830.909086191]"
282,"[-11007346.325122252, 2235915.5759221916]"
283,"[-11007457.714928368, 2235963.201017432]"
284,"[-11007373.048092367, 2235940.7113891193]"
285,"[-11007267.214547366, 2236004.21151612]"
286,"[-11007133.599696802, 2236096.8158679954]"
287,"[-11006571.888156705, 2236072.4741526446]"
288,"[-11006407.846161954, 2236020.880299457]"
289,"[-11006360.221066704, 2235990.4531552694]"
290,"[-11006341.700196328, 2236005.0052677067]"
291,"[-11006241.158328578, 2236007.651106332]"
292,"[-11006235.866651328, 2235952.0884952066]"
293,"[-11006190.887394702, 2235932.244705519]"
294,"[-11006175.012362953, 2235926.953028269]"
295,"[-11006131.35602564, 2236188.8910521455]"
296,"[-11006181.626959516, 2236207.4119225205]"
297,"[-11006254.387521703, 2236179.630616958]"
298,"[-11006216.02286164, 2236310.599628896]"
299,"[-11006223.960377516, 2236371.4539172715]"
300,"[-11006237.189570641, 2236419.079012522]"
301,"[-11006264.970876204, 2236495.808332647]"
302,"[-11006423.721193705, 2236437.599882897]"
303,"[-11006430.335790267, 2236473.3187043346]"
304,"[-11006472.669208268, 2236514.329203022]"
305,"[-11006600.99238158, 2236444.2144794594]"
306,"[-11006553.36728633, 2236386.0060297092]"
307,"[-11006639.357041642, 2236427.016528397]"
308,"[-11006688.305056205, 2236395.2664648965]"
309,"[-11006693.596733456, 2236346.318450334]"
310,"[-11006656.554992706, 2236333.0892572086]"
311,"[-11006612.898655392, 2236294.7245971463]"
312,"[-11006627.45076783, 2236266.9432915836]"
313,"[-11006593.054865705, 2236269.5891302084]"
314,"[-11006575.856914643, 2236229.901550833]"
315,"[-11006706.825926581, 2236199.4744066456]"
316,"[-11006726.669716269, 2236166.401423833]"
317,"[-11006849.701212332, 2236253.714098458]"
318,"[-11006802.076117082, 2236235.193228083]"
319,"[-11007090.207943344, 2236460.3540950706]"
320,"[-11007014.007790944, 2236581.004336371]"
321,"[-11006969.557702044, 2236458.237424171]"
322,"[-11006080.555924041, 2236225.40362517]"
323,"[-11005974.72237904, 2236136.5034473697]"
324,"[-11005961.228602052, 2236305.83711937]"
325,"[-11005933.447296489, 2236289.168336032]"
326,"[-11005879.47218854, 2236271.705801107]"
327,"[-11005341.308612214, 2235716.608857579]"
328,"[-11006789.534841992, 2236695.304564961]"
329,"[-11006723.918044092, 2236731.287970261]"
330,"[-11006545.588520767, 2236647.679469711]"
331,"[-11006474.680045618, 2236628.629431611]"
332,"[-11006452.455001166, 2236618.0460771113]"
333,"[-11006450.338330267, 2236661.4378305613]"
334,"[-11006449.279994817, 2236751.3963438114]"
335,"[-11006415.413260417, 2236712.2379321614]"
336,"[-11006401.654899567, 2236644.504463361]"
337,"[-11006381.546526017, 2236623.337754361]"
338,"[-11006364.613158816, 2236615.9294062112]"
339,"[-11006277.829651916, 2236573.5959882108]"
340,"[-11006283.121329166, 2236551.370943761]"
341,"[-11006265.129626516, 2236563.012633711]"
342,"[-11006260.896284716, 2236612.754399861]"
343,"[-11006252.429601116, 2236646.621134261]"
344,"[-11006245.021252966, 2236679.4295332115]"
345,"[-11006287.354670966, 2236652.971146961]"
346,"[-11006305.346373616, 2236692.129558611]"
347,"[-11006351.913133416, 2236697.4212358613]"
348,"[-11006245.021252966, 2236786.321413662]"
349,"[-11006265.129626516, 2236807.4881226616]"
350,"[-11006364.613158816, 2236832.888173462]"
351,"[-11006346.621456167, 2236823.363154412]"
352,"[-11006237.612904817, 2236827.596496212]"
353,"[-11006211.154518565, 2236845.588198862]"
