,label,building_area,total_households,total_status,num_buildings,index_right,cluster_area,Area_gini,Area_mean,building_density,high,mid,low,status_Gini,avg_status
17,17.0,121232,391,803,81,567,23574865.461904388,0.07936099438771325,310.0562659846547,0.0051424259534334936,0,370,21,0.02611317051530662,1.9462915601023019
18,18.0,64158,202,409,34,1326,5426380.646582528,0.045341343261792746,317.61386138613864,0.011823350439008729,0,197,5,0.012221146926722748,1.9752475247524752
19,19.0,71572,235,486,53,1537,21276997.269662384,0.08847498903053731,304.5617021276596,0.0033638205190753253,0,219,16,0.03284281563408005,1.9319148936170212
20,20.0,102280,315,630,33,759,5141704.373861877,0.01841220179898318,324.69841269841265,0.01989223661320276,0,315,0,0.0,2.0
21,21.0,114853,366,741,52,1300,11452492.097844673,0.04742505494907032,313.80601092896177,0.010028646954632259,1,355,10,0.01483270223491977,1.9754098360655739
22,22.0,127352,350,676,52,1768,15141044.279269703,0.1425999255157808,363.86285714285714,0.00841104468430645,29,316,5,0.0435438042620363,2.0685714285714285
23,23.0,18626,74,165,38,1178,15257876.997376453,0.2616808529779645,251.7027027027027,0.0012207465038027692,0,57,17,0.09995873736331752,1.7702702702702702
24,24.0,153843,302,486,155,4960,63720554.706088096,0.3483258906807589,509.4139072847682,0.002414338680973555,120,180,2,0.10291500798004073,2.390728476821192
25,25.0,79362,269,567,63,2520,30252683.14194442,0.12298597111218472,295.02602230483274,0.0026233045058395832,0,240,29,0.05083223172486324,1.8921933085501859
26,26.0,81028,251,504,43,430,8154616.399155334,0.03676742897590661,322.8207171314741,0.009936457588414948,0,249,2,0.00396812749003984,1.9920318725099602
27,27.0,104252,343,708,58,1160,10930887.263387661,0.08007520239419869,303.94169096209913,0.009537377660932036,0,321,22,0.03100741157048017,1.935860058309038
28,28.0,139593,446,912,76,684,15360545.493629761,0.06328571026101858,312.9887892376682,0.009087763195512244,0,426,20,0.0219072695108405,1.9551569506726458
29,29.0,58979,222,489,72,2952,35714784.32046424,0.20220756540463555,265.6711711711712,0.0016513889450035285,0,177,45,0.08992074781548465,1.7972972972972974
30,30.0,110845,298,592,52,1820,18810637.87132203,0.20047593516673776,371.96308724832215,0.00589267630147673,18,266,14,0.05042505592841163,2.0134228187919465
31,31.0,95169,309,637,69,345,22637099.215953425,0.08749847528945356,307.99029126213594,0.00420411639725155,0,290,19,0.02976914058490148,1.9385113268608414
32,32.0,176898,490,957,82,0,17561650.339145992,0.12467554806747855,361.0163265306122,0.010072971308720544,23,467,0,0.021854843632368202,2.046938775510204
33,33.0,159370,495,991,42,756,7057626.206207295,0.018137996644616468,321.95959595959596,0.022581246915546693,0,494,1,0.001009079674398178,1.997979797979798
34,34.0,87018,289,601,74,3108,13139437.816093443,0.10501422725966648,301.10034602076126,0.006622657774095832,0,266,23,0.038143333645063754,1.9204152249134947
35,35.0,33285,123,267,42,2016,11535608.625026423,0.1798368610094393,270.609756097561,0.0028854134256764245,0,102,21,0.07739837398373983,1.829268292682927
36,36.0,78252,269,564,79,2133,36415447.02377884,0.12847317037112202,290.8996282527881,0.002148868307147305,0,243,26,0.0458730250929368,1.903345724907063
37,37.0,182614,493,964,97,3201,29686531.31960482,0.18035070637806142,370.41379310344826,0.006151409136823025,35,445,13,0.044813902572523254,2.0446247464503045
38,38.0,88883,282,571,39,1833,12410102.763156975,0.044743575964035276,315.18794326241135,0.007162148589444015,0,275,7,0.012255370080344297,1.975177304964539
39,39.0,162368,505,1016,52,1872,9695742.881915716,0.029033338764503175,321.5207920792079,0.01674631866557076,0,499,6,0.005905092501282001,1.988118811881188
40,40.0,129030,405,822,123,492,29316646.760959513,0.13075068196409484,318.5925925925926,0.004401253699035835,5,383,17,0.02659735759150964,1.9703703703703703
41,41.0,124914,396,803,92,1104,20583312.524194315,0.06586664958825005,315.43939393939394,0.0060687024915533835,0,385,11,0.013693270735524255,1.9722222222222223
42,42.0,151304,464,930,70,980,17537484.231549244,0.04304346684090672,326.08620689655174,0.00862746320979209,2,458,4,0.006432933641170775,1.9956896551724137
43,43.0,136399,325,616,58,348,11299755.203751205,0.24448805455938938,419.6892307692308,0.012070969462658742,38,283,4,0.05483580746738641,2.1046153846153848
44,44.0,51913,219,499,121,1331,30754715.164573647,0.2987404198471504,237.0456621004566,0.0016879688113580248,0,158,61,0.11673509925753667,1.721461187214612
45,45.0,76172,260,549,60,960,17993955.87385277,0.13108198449662506,292.96923076923076,0.004233199221672341,1,229,30,0.05607864640451198,1.8884615384615384
46,46.0,106781,332,664,57,1368,16963144.949403353,0.03183311344477938,321.62951807228916,0.006294882247277845,0,332,0,0.0,2.0
47,47.0,120903,378,762,47,1786,17872380.589708917,0.03368054858092326,319.8492063492063,0.006764795511887044,0,372,6,0.007873015873015874,1.9841269841269842
48,48.0,72996,231,475,56,1176,22869907.69943376,0.11441752486467267,316.0,0.0031917925056517533,2,214,15,0.03565402674534078,1.9437229437229437
49,49.0,63055,207,429,45,1980,13392608.341866283,0.09267585962259006,304.6135265700483,0.0047081941314512585,0,192,15,0.03486978315353602,1.9275362318840579
